City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,afaahiti,-17.75,-149.2833,24.93,77,52,3.22,PF,1743066215
84,san patricio,28.017,-97.5169,19.42,94,100,4.24,US,1743066217
85,kapuskasing,49.4169,-82.4331,-2.39,94,100,4.63,CA,1743066218
86,flying fish cove,-10.4217,105.6791,28.38,79,40,3.6,CX,1743066219
87,badger,64.8,-147.5333,-4.86,64,100,0.0,US,1743066220
88,thunder bay,48.4001,-89.3168,1.68,71,20,4.12,CA,1743066221
89,saipan,15.1355,145.701,27.1,78,20,5.66,MP,1743066222
90,vernon,50.2581,-119.2691,8.41,94,100,0.45,CA,1743066002
91,puerto armuelles,8.2833,-82.8667,24.43,84,92,1.34,PA,1743066225
92,cartersville,34.1651,-84.7999,10.31,46,20,0.0,US,1743066226
93,kargasok,59.0556,80.8572,2.05,98,87,3.97,RU,1743066227
94,margate,51.3813,1.3862,9.54,85,37,2.11,GB,1743066228
95,kidal,18.4411,1.4078,30.09,8,43,6.05,ML,1743066229
96,constantia,44.1833,28.65,13.56,87,100,3.42,RO,1743066231
97,puerto ayora,-0.7393,-90.3518,23.08,100,100,7.14,EC,1743066232
98,iquique,-20.2208,-70.1431,21.1,78,97,0.57,CL,1743066233
99,fuerte olimpo,-21.0415,-57.8738,24.61,81,19,1.94,PY,1743066234
100,puerto natales,-51.7236,-72.4875,9.55,77,100,3.36,CL,1743066235
101,patterson,37.4716,-121.1297,11.63,81,100,0.7,US,1743066236
102,micheweni,-4.9667,39.8333,28.84,73,46,1.13,TZ,1743066237
103,ha'il,27.5219,41.6907,24.28,15,0,2.66,SA,1743066239
104,fort mcmurray,56.7268,-111.381,-6.27,63,100,3.09,CA,1743066240
105,xining,36.6167,101.7667,-1.28,44,16,6.96,CN,1743066012
106,port blair,11.6667,92.75,30.79,48,40,2.57,IN,1743066242
107,salisbury,51.0693,-1.7957,9.31,95,75,2.57,GB,1743066243
108,gagarin,55.5529,34.9954,5.18,96,100,2.71,RU,1743066244
109,hithadhoo,-0.6,73.0833,28.32,75,99,4.21,MV,1743066246
110,chibougamau,49.9168,-74.3659,-12.53,98,41,1.4,CA,1743066247
111,coyhaique,-45.5752,-72.0662,10.92,96,100,2.99,CL,1743066248
112,meiktila,20.8667,95.8667,37.21,15,10,4.27,MM,1743066249
113,olonkinbyen,70.9221,-8.7187,-7.51,74,100,9.02,SJ,1743066250
114,wisconsin rapids,44.3836,-89.8174,2.47,80,0,1.54,US,1743066253
115,abatskoye,56.2875,70.4555,2.96,97,100,3.77,RU,1743066254
116,kharp,66.8014,65.8081,1.21,100,97,3.71,RU,1743066255
117,nar'yan-mar,67.6713,53.087,-3.32,85,78,6.39,RU,1743066256
118,hood river,45.7054,-121.5215,10.2,79,100,4.92,US,1743066257
119,magadan,59.5667,150.8,-8.41,93,81,2.66,RU,1743066258
120,carnarvon,-24.8667,113.6333,32.97,43,67,6.42,AU,1743066260
121,mana,5.6592,-53.7767,24.25,88,97,5.99,GF,1743066261
